sample_HFS156	sample_HFS157-resub	sample_HFS158	sample_HFS159	sample_HFS160	sample_HFS199	sample_HFS200	sample_HFS201	sample_HFS202	sample_HFS253	sample_HFS254	sample_HFS255	sample_HFS256	sample_HFS257	sample_HFS303	sample_HFS304	sample_HFS305	sample_HFS306	sample_HFS307	sample_HFS348	sample_HFS349	sample_HFS350	sample_HFS351	sample_HFS352
ABHD17C	15.3823	12.4777	12.1259	16.6184	10.2753	9.19207	10.35	12.4037	9.80712	7.0671	7.61287	6.83126	7.46912	11.312	14.7214	11.1814	7.9747	10.0536	8.68831	10.4996	8.24457	7.98961	13.4788	6.45656
ABHD18	79.1045	66.4771	57.9313	68.8726	56.5491	50.069	57.9421	56.7164	55.2655	50.2929	64.1253	57.8412	53.1007	46.5315	47.4669	67.594	46.2646	57.4858	40.0976	49.9157	52.0525	51.2261	51.5267	49.9163
ABHD2	116.403138	96.32926	111.12353	144.21635	117.72609	126.99016	121.16947	123.20292	122.4883	141.92009	158.95316	145.345894	135.04512	90.349869	132.30488	123.93521	165.02482	149.332211	140.19111	125.72265	131.76519	135.0297	147.18955	127.827080023161
ABHD3	69.3036	97.5988	101.667	83.6737	95.4637	105.48	89.7667	85.8205	117.618	109.874	104.233	93.1	93.3217	80.4674	93.0504	75.7016	117.082	102.626	65.7532	93.7616	96.2341	100.408	141.504	106.92
ABHD4	45.1878	39.5663	39.5488	41.4232	37.5216	30.2434	28.2242	32.5863	25.4737	24.0809	26.5181	25.3071	19.1376	30.5183	21.1671	28.1545	28.4644	25.6729	31.0813	27.4395	24.619	23.7666	35.3516	26.7552
ABHD5	5.27753	6.35684	8.32506	5.63698	12.2445	17.9507	7.31909	8.69537	11.4051	13.5148	9.25873	9.87441	13.61	8.34929	10.3019	11.291	5.75472	8.4793	6.82756	10.2963	15.2198	9.10646	14.3031	11.3068
ABHD6	73.7111	71.9603	78.7474	84.7019	98.6854	118.473	93.331	93.903	81.464	77.2053	78.2538	86.8439	90.7262	83.9668	93.1966	79.7795	96.8668	105.848	67.0275	81.8666	84.8962	87.0081	91.7742	80.8155
ABHD8	272.655	291.065	245.901	262.456	213.729	184.815	229.358	222.022	198.358	203.716	215.91	199.474	205.266	218.237	185.923	208.107	235.947	214.247	218.315	192.929	200.64	220.278	188.655	207.598
ABI1	71.300155	80.55248	103.1199987	87.99336179357	143.4766922	163.300280001234	97.38231	102.142630277846	142.878357	115.109824	123.05473	126.902970385916	128.539507	126.41444	184.16713	131.71588	94.006520100914	115.151400633359	80.69629	158.677602	167.44587	104.094142946	143.570869	127.127209339
ABI2	29.883098274	38.39384402374	38.2906441491584	44.8464140846687	43.8834496641104	60.6549363886715	48.7577377627197	45.9140715769514	53.0419108917	60.6943187043933	45.6402525974919	42.5317323825073	45.5272631527104	32.987708037323	67.15916800976	50.9539839091024	45.38313709205	44.5434284922366	30.8312483824	51.6550981857	67.39329207877	45.8369173807765	61.1912324798319	51.9696860915496
ABI3	2.56287	1.890292	1.569792	1.282203	1.90622	1.427693	1.932612	2.447554	1.862591	1.890148	3.13848	4.030647	1.518811	3.2381	1.44211	1.943523	0.9541372	1.77074	2.49208	2.39784	1.792489	2.039624	1.057042	1.976385
ABI3BP	4.377	3.28965	3.45121	5.26195	6.29307	3.52898	4.07684	3.38116	7.25	8.72706	10.1332	8.30471	4.53096	1.54505	6.24111	4.2611	4.58226	7.27955	2.67074	5.43561	9.46224	5.52347	5.23425	6.87991
ABITRAM	18.1579	19.6396	26.8298	18.225	23.2852	23.0693	21.7618	19.1506	19.6002	19.4598	21.8421	20.5116	19.8932	19.8332	19.632	24.0774	19.5705	21.2242	16.8167	24.7529	26.6997	23.3135	28.2847	22.5243
ABL1	32.79402	32.00114	30.63379	32.2129	26.21852	24.8431	28.7406	27.51438	27.57367	25.57066	27.9865	27.05473	25.373639	27.82013	22.15645198	28.36481	30.3743	29.14756	34.43631	27.248122	22.47215	26.43047	25.17982144586	26.16182
ABL2	62.77029	64.93929654393	48.583940662602	55.048810564136	48.85238	53.7639500019342	61.79664305263	60.14621	55.746410938343	58.5076800402175	48.678400501062	54.09317	46.28345	63.93104480379	46.746420010343	49.31545	57.939380409337	52.5620889377	57.9471100445375	46.449180550509	48.242550158165	61.07881	46.71945	51.2493100510598
ABLIM1	20.6686528	22.84565	23.699415	20.96727	35.366818	30.654703	22.22815	20.145552	29.765992	24.036483	39.873343	25.101382	25.18226	25.01352	35.99769	19.831287	31.47983	25.4957648	29.72566	37.229209	28.324591	26.538696	32.982325	25.890671791824
ABLIM2	102.722017	117.4995246601	86.9666	84.84613	65.80845	100.232330006186	112.22957	95.174510242085	82.01187	95.052100408028	104.30972	118.291096201	90.686	109.94069	106.62035	159.78106	98.21506852	88.74583	130.75926	83.0454	104.77076	117.438902	82.4716400016069	93.14794
ABLIM3	53.53526	53.581995	41.08323	50.93296	39.18808	33.73823	21.579754	29.52653	20.68502	16.171513	21.44135	42.71812	33.44957	56.94446	30.3294	46.84164	22.224552	22.25284	33.875824	34.788433	24.02528	22.740365	18.29932	23.799471
ABR	616.71766	624.3603	588.4075	661.57076	474.37624	498.96478	507.96038	520.91545	478.32211	412.20301	535.8071	568.123	614.4331	724.77516	610.3633	646.79211	581.96963	490.60228	587.47656	509.63881	620.65345	568.56509	506.11534	559.5925
ABRA	1.03814	3.18476	1.90599	1.00972	3.18736	1.36089	1.74056	2.58663	2.33969	1.28173	1.68045	1.22806	1.72916	2.20238	1.91919	4.57322	5.22265	3.99328	2.41089	1.30999	0.974367	2.14164	3.24647	3.02318
ABRACL	41.01878	50.93472	44.69488	50.37778	79.2967	57.564	55.22235	47.9437	63.42063	73.71026	49.1747	70.71888	49.26942	81.2566	59.73367	47.83448	54.34194	67.91677	44.58036	77.80426	69.2543	76.06569	64.08481	83.99487
ABRAXAS1	1.44189	1.39325	1.58226	0.949352	2.42272	1.198	0.680886	1.28553	1.093	0.535229	0.95042	1.09628	0.995106	1.25802	0.604037	1.65796	2.02921	1.01818	1.36189	1.58344	2.18004	0.678835	1.57996	1.53991
ABRAXAS2	30.5331	30.7365	28.9294	30.7275	29.7047	34.482	37.5839	31.3876	37.3802	35.7048	30.5529	33.3872	31.8654	33.025	26.0119	33.0749	30.4626	28.421	27.2546	29.8102	31.237	37.2166	28.8501	32.5031
ABT1	70.1353	80.6373	58.4964	73.0583	52.888	54.998	69.35	69.2127	56.663	53.0294	52.9668	56.4693	66.4093	60.6534	49.3495	63.5043	54.4364	58.5078	59.639	51.7286	53.1985	63.9941	55.0093	59.1276
ABTB1	35.4087	39.0101	31.7508	32.4602	30.9616	28.5879	44.671	31.2543	24.866	26.7818	32.8107	32.1752	26.0125	36.581	34.5699	35.1912	37.6863	37.7792	25.4086	29.3693	21.4525	26.0827	24.7644	34.2226
ABTB2	1.46926	0.918054	2.43708	1.71727	2.1746	0.74739	1.17563	0.722033	0.811592	1.63563	1.34158	0.854984	0.716288	1.6356	1.22379	0.961242	1.58447	0.727725	1.24763	1.63673	0.261024	1.36499	0.665838	1.77349
ABTB3	1.989496	5.459826	10.32531	3.59611	4.0843730117227	0.9311841124346	1.764	2.65306	2.52643	3.164878	3.57548	3.72965	5.49174	1.48745	2.618984	2.7417010003773	2.097677	2.80161	1.95024	3.344486	3.72234	4.482242	3.30733	3.397315
ACAA1	85.8558	75.6628	75.7949	79.9518	74.0977	56.3597	74.2365	72.2177	63.4851	68.3774	67.901	68.4965	58.9712	70.426	71.0051	64.0908	84.0474	72.838	58.2808	73.9957	57.1535	59.9043	63.1777	60.4216
ACAA2	93.3326	82.3714	109.172	87.1802	80.1513	74.1323	76.2841	78.6915	71.7587	83.2613	95.2258	100.75	80.6115	89.4774	83.4995	67.9868	90.0562	89.2216	88.0308	72.5964	64.1073	71.9283	70.1205	83.6039
ACACA	35.99698954067	29.63316903659	42.6755907262	39.950177577198	40.42820888151	38.726952750347	27.5114218679402	38.6824604022003	19.08020832803	43.6554753030002	39.1652386499597	43.76486941612	48.48238971	46.1656728628644	43.28141025103	41.89057816611	48.9446671018589	36.51629426706	36.82639	38.812028546052	44.9842934563	56.4066299405463	34.557061716368	45.179750974117
