sample_HFS146-resub	sample_HFS147	sample_HFS148	sample_HFS149	sample_HFS150	sample_HFS191	sample_HFS192	sample_HFS193	sample_HFS194	sample_HFS258	sample_HFS259	sample_HFS260	sample_HFS261	sample_HFS262	sample_HFS298	sample_HFS299	sample_HFS300	sample_HFS301	sample_HFS302	sample_HFS338	sample_HFS339	sample_HFS340	sample_HFS341	sample_HFS342-resub
SLC30A5	32.2796	45.6255	51.2068	43.0694	34.5838	41.4018	44.5866	33.9907	52.4777	34.3449	24.4586	18.2104	38.089	44.5108	38.4524	26.7769	29.1873	44.3526	32.4151	29.3056	35.7369	47.8763	45.3136	33.2523
SLC30A6	12.27731618	11.18114	13.86646	12.56712	10.207365	12.39244	10.800006	13.09699	11.28335	8.62313	9.6414293	12.129211235	13.50649	12.235907453	13.2379	11.00741	11.23535	9.1135	11.69761	12.55918	10.117448	9.1440446427631	10.6685300054147	11.71008
SLC30A7	2.09741	3.1445	2.57145	2.71759	2.77767	4.32868	3.33953	3.10821	3.06033	3.11574	1.49817	2.4361	3.61332	2.86918	3.24501	2.12537	2.8129	3.03576	3.13013	3.78293	3.52569	2.53021	3.25258	3.83643
SLC30A8	0.317815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC30A9	48.2822	71.8709	80.0509	62.6789	79.5702	83.6384	60.3675	59.4692	59.912	60.6948	47.385	39.8008	70.4819	64.2734	70.7008	57.1382	44.3874	75.7613	60.6284	54.4194	65.456	53.5254	61.4901	64.4672
SLC31A1	26.9906	33.6354	41.993	32.1272	28.2982	28.1791	23.2327	23.6353	28.7556	23.5704	16.9174	19.1995	22.5271	18.137	25.0403	20.8299	19.0102	27.12	20.5529	21.3004	26.0274	22.2735	26.1998	21.0931
SLC31A2	9.2202	10.4083	9.58159	8.17807	7.53356	8.9714	8.22875	7.17446	7.36677	11.9898	11.9194	10.6406	9.16412	9.06561	11.3805	9.45351	12.4399	8.95093	9.02658	12.7677	11.1748	11.4102	8.15688	9.9217
SLC32A1	79.3564	88.9308	83.1431	90.076	77.3691	64.3264	66.7307	65.6495	102.137	297.037	128.502	76.1927	70.3942	82.7039	139.676	81.0631	154.354	117.957	263.965	278.319	197.981	105.75	93.3687	238.618
SLC33A1	104.968	101.147	80.7755	82.2664	67.1128	74.3469	58.06	79.9663	63.9169	76.8457	61.876	91.9405	67.2726	72.7667	51.7919	54.8876	59.335	49.5371	57.6088	59.9372	59.4231	76.551	73.0195	63.1503
SLC34A1	0	0	0	0	0	0	0	0	0	0	0	0.0811034	0	0	0	0	0	0	0	0	0	0.0645614	0	0
SLC34A2	0.0743747	0.0736961	0.0758499	0.241938	0.0785681	0.0754598	0	0	0	0	0	0	0.411129	0.0701965	0	0	0	0.0624877	0	0	0	0	0.0597528	0
SLC34A3	0.926061	1.18332	1.053668	1.978961	1.87008	1.11169	1.56216	1.65559	1.479561	1.18706	1.821774	1.714491	0.867349	1.07627	1.395914	1.155768	2.95833	2.10523	1.772614	1.36423	1.744111	1.27043	0.3966465	0.876667
SLC35A1	13.9837	17.0188	19.7132	14.5534	18.6553	15.1673	18.1167	14.5263	16.7875	15.6747	10.9261	13.3887	17.4238	16.0156	16.8898	13.0311	17.1018	16.2411	13.8459	16.3679	16.3734	15.6634	13.2403	15.2831
SLC35A2	15.17778	16.883518	13.18542	13.310073	14.952923	16.390138	14.45616	11.96233	13.82274	10.99301	16.12498	5.406395	11.63017	13.727523	15.89247	17.24669	10.826947	12.35589	10.404295	10.74374	16.140541	12.970514	9.183061	12.970923
SLC35A3	8.579715	11.67174	15.24739	13.027308	13.44369	14.55960247584	14.5712	12.027464	15.7788	13.4402	6.29047	11.41231	12.97683	11.3210900346497	14.99111	7.2606	11.45682	13.47343	12.70299	15.013	14.64906	8.83642000273845	11.6521600571194	12.90324
SLC35A5	19.182472	25.312816	35.339276	25.020381	28.100248	28.942881	23.426442	21.246215	29.707624	27.547244	15.360947	9.471154	23.633	16.325374	26.995719	20.971955	17.729981	22.727033	37.271187	33.601533	34.237404	16.352511	15.6373305	30.941422
SLC35B1	75.7464	89.3692	81.0211	77.492	80.053	81	60.1631	85.0951	70.8759	72.0626	82.4966	91.5528	81.752	84.4046	78.9373	72.9174	71.8781	61.3079	86.2999	84.4574	76.9121	80.5029	71.5205	78.1263
SLC35B2	22.771873	23.040635	25.971851	24.70611	24.360304	16.61234	20.346501	17.82744	15.698289	22.948569	18.393203	22.76566	18.053125	16.31019	18.090137	19.095087	26.15641	17.66457	21.519963	23.93329	18.34927	20.154515	17.402666	24.67959
SLC35B3	56.47829	43.1707	42.8021	47.9952	48.27628	40.92832	41.2111	57.307	40.66281	39.15076	51.77159	55.0187	43.0492	42.7836	41.91753	59.8207	51.87063	34.44859	49.62859	57.98616	52.66598	48.25779	40.04777	45.60394
SLC35B4	36.5137	34.1342	35.4212	36.0455	40.1033	28.0325	30.362	28.5608	32.0545	33.227	42.0272	33.6097	28.2702	29.7402	35.5594	42.4678	36.0865	33.4527	34.3581	29.5428	35.7423	33.1563	28.7837	38.2273
SLC35C1	31.70743	28.33229	29.12754	31.7633	26.78257	25.66344	23.62086	28.29208	15.49915	19.37977	22.87405	21.36051	24.70983	25.24683	26.79986	25.35098	33.50968	21.68217	24.0646	19.95222	21.40049	24.258328	24.16831	22.29438
SLC35C2	164.36656	136.32692	120.24216	157.84083	131.50782	133.40213	125.02202	159.29362	131.598299	84.47706	121.07351	141.0688	106.79836	109.96988	122.91636	146.2325	153.00414	126.40783	96.5672	90.99528	114.64814	151.01493	139.93082	113.72235
SLC35D1	9.20441	10.2308	11.3231	9.4333900110005	8.27713	8.49604	7.464570158373	7.612428	7.75682	8.59451	7.0680483	6.707960377483	7.36712	8.21347	9.48766	5.23125	10.1469	8.88389	7.40171	7.91671	7.19788	8.83159	9.235424	8.86734
SLC35D2	1.07876	0.954637	0.860278	0.391423	0.382199	2.20085	0.744206	0.622325	0.57687	1.81665	0.824139	1.63747	0.111043	0.908268	1.51998	0.832183	1.04686	1.41685	0.921534	1.49761	1.26486	0.956557	0.386965	1.3966
SLC35D3	0.342563	0.465209	0.609116	0.416758	0.450436	0.432833	0.43949	0.574007	0.613336	10.6557	1.01811	0.17562	0.785992	0.483781	0.456315	0.256592	3.62196	0.466103	9.4469	7.77183	3.81097	0.238069	0.308636	6.82688
SLC35E1	137.765	116.78	105.319	125.241	109.012	114.348	122.176	126.314	108.799	99.8984	112.042	176.119	102.78	117.313	116.167	114.658	135.723	92.4721	98.945	109.256	101.723	124.403	123.625	114.101
SLC35E2B	75.66884	78.88186	69.4911	66.1974	66.98004	68.3988	60.26454	64.9787	60.74785	50.82474	64.22669	49.42356	60.32397	70.30016	64.24722	62.47857	72.9116	60.45736	57.45079	52.25514	55.8491	61.00529	60.17602	49.10661
SLC35E3	8.97094	13.2106	15.4122	13.7878	12.2951	12.7966	12.6555	12.1726	11.423	8.73524	7.55206	7.63406	14.1333	10.0988	16.4616	12.6887	11.9397	16.3238	11.884	10.1225	12.3153	11.1167	10.8509	11.5985
SLC35E4	33.2223	35.1637	33.0142	30.9817	33.6099	34.5988	42.5284	32.1932	34.9254	34.4592	35.8243	49.5251	33.5837	38.4608	39.721	41.1693	40.6184	43.8796	39.498	31.0302	31.1241	45.7566	50.075	30.7664
SLC35F1	24.6211	24.2568	43.4911	30.9262	36.0522	28.8957	28.5863	28.376	32.5627	39.2571	17.9438	19.013	22.8746	21.4198	24.0356	13.7715	24.8737	25.2531	41.1129	37.9299	41.2489	15.5299	17.8455	34.3747
SLC35F2	4.985713	4.20162	5.89781	5.96602	4.93987	5.18662	5.20295	6.048608	6.062981	6.658729	6.30216	6.269341	4.033633	4.04541	5.944029	4.410629	6.75906	5.62607	6.00285	7.843687	6.094788	6.77477	4.345373	5.55134
SLC35F3	11.63979	18.19951	18.73321	15.99201	19.12366	17.50467	15.67561	13.03087	20.77563	15.79394	15.60932	12.03202	18.29872	13.34263	17.70265	17.88362	15.3095	21.5245	22.4135	18.92916	19.87449	12.7974	13.27761	20.594717
SLC35F4	3.9304	2.11118	3.075285	3.02071	9.17827	7.54689	4.963076	8.55771	6.20204	7.99786	5.08842	6.22068	6.394307	6.41829	6.60706	4.7265	7.47629	3.23605	11.7822	9.09871	7.1991557	3.97816666	2.5793011	10.7976
SLC35F5	9.55518	10.176331	12.863966	11.949367	10.468753	12.0198	11.00115	15.38995	10.920084	11.34128	9.002563	9.830296	14.894332	9.02483	12.89424	9.990213	12.189558	11.88121	11.484087	11.0447	11.9541	9.393662	9.1842	11.470659
SLC35F6	61.0934	62.2277	65.7834	59.3055	61.4493	52.2505	41.6296	44.6372	42.4766	32.0665	47.468	41.7212	46.647	48.3637	48.5959	39.1153	46.3422	50.9152	39.0427	41.1281	49.4953	55.2413	43.8158	38.0162
SLC35G1	3.277418	3.75911	3.64283	3.553427	3.76933	2.482628	2.7142	2.657742	1.6842898	4.1023031	1.46958	1.981858	2.838648	3.07696	2.221564	3.104495	2.29922	2.985900312992	3.33174	2.6606200280176	3.13509	3.3095	2.476999	3.925349
SLC35G2	21.065695	26.726754	30.179943	24.734411	31.997558	26.17092	31.450545	23.6084520007516	28.547141	22.63862	15.750938	27.69454	24.25592	25.710457	25.64284	21.025422	23.537213	29.95991	23.54632185034	25.4358	23.509835	28.049688	28.52165	20.425883
SLC35G6	2.22627	2.82498	4.18373	2.56381	4.92088	2.96292	2.07662	2.94841	2.13175	1.67944	7.07791	0.420587	2.69045	2.23168	3.37796	5.33721	1.21673	3.44685	3.84608	2.22357	4.62595	2.00615	3.01678	3.19147
SLC36A4	10.30385	12.1995	15.21237	14.0217	11.6009	16.572177	14.269287	12.43433	16.9014	13.572314	9.18051	6.23832000113332	14.889835	15.701068	13.26014	13.5532	11.07021	20.632496	15.37404	13.1985	15.60444	10.340728	15.9521	14.35343
SLC37A1	35.9138	22.3633	23.5901	24.3829	25.1142	25.093	27.3631	29.7924	22.7718	25.0442	26.2783	27.3778	24.8509	25.7543	28.0662	27.4678	42.8104	26.2248	21.9932	27.085	29.7029	30.4366	25.3332	30.6579
SLC37A2	1.840949	1.799909	2.422594	2.921086	1.50576	1.689089	1.2528	1.78436900200931	1.60116	1.17652	1.1621825390537	2.32267	3.104306	2.573838	1.9188	1.17357	2.187776	2.58729	1.506385	2.105215	1.45796	1.892782	1.79959424348	2.110983
SLC37A3	40.975073	34.437576	28.87549	33.7782	34.13925	28.756117	23.7078	32.94677	24.616729	17.6335	30.105245	31.14159	20.43856	22.567752	23.584732	33.7671	29.670278	23.451571	28.596131	24.236503	24.5913	22.921727	20.1137	19.460391
SLC37A4	13.15983	10.563018	12.77944	12.23892	14.40351	11.205142	15.908016	12.29208	10.052241	9.00926	9.75287	10.17491	7.37592	14.221	10.82525	7.600508	15.808127	9.34862	16.065472	10.656486	12.58093	11.484476	8.87817	10.358363
SLC38A1	22.966269	36.410731	43.910835	37.706154	34.4804900411384	43.877507	33.511713	28.849073	40.389575	38.7142	25.40987	28.710427	40.448776	33.018521776	40.69349	28.21041	24.245704	51.19182	38.709602	32.1612696	37.805055	32.4871059	41.074178	33.443979801
SLC38A10	27.69359	21.35625	22.16002	26.59698	26.53812	19.56861	21.78895	25.90806	21.42997	23.66261	32.58703	36.50779	21.97898	25.40048	25.95733	28.06945	36.74225	24.86553	25.27679	27.05344	24.96717	25.74102666	22.65063	25.51713
SLC38A11	0.750210639	1.237766	0.443716	0.710202	1.68192	0.909455	0.963955	3.09664	0.0799285	2.683873	3.528112	1.275933	2.122544	0.551083	1.27272	1.85746	2.53993	0.921953	0.71655	1.511379	0.737352	0.464585	0.601561	2.951686
SLC38A2	35.8635	45.2378	47.60576	35.829	43.68652	64.5428	61.7404	45.6839	63.7665	71.378	28.81518	56.8151	53.4237	49.6718	46.5181	29.39788	35.600125	80.28	52.5226	52.2897	55.2342	74.797	80.4069	55.1425
SLC38A3	37.777	30.0435	29.9298	34.6774	32.9667	33.2721	33.495	41.0103	25.3399	41.3182	35.3094	17.8588	32.1691	22.5122	41.9995	37.3889	33.4903	27.7578	42.1014	25.2041	21.5073	30.6611	29.7285	34.5818
SLC38A4	2.7023600142877	3.8768329665	4.49774499	4.7215	4.61344619882	5.9912701	6.0095742226	4.462849	4.40346	4.704329	1.9516743727895	6.30383000309684	4.72659	4.90783	5.008164	3.35946	7.144384	4.937449	4.55249508759	3.71691003883353	4.4353903493062	4.445029	2.9493251	4.461401
SLC38A5	1.33946	1.8101951	1.967372	1.7245101	0.7909517	2.47236	1.254312	1.38893	2.2363436	2.53412	1.65119	0.299792	3.09057	1.582921	1.119922	1.08493	0.813117	2.302626	3.105338	2.6144	0.79951	2.93583	1.956805	2.980254
SLC38A6	4.10212	6.11011	4.93189	5.30497	4.99458	5.60735	6.95188	6.65332	5.7547	5.77869	4.63905	2.38701	9.49747	6.67639	7.59384	3.72091	6.73171	8.17236	8.55146	6.84659	6.97996	6.22401	4.86892	5.57284
SLC38A7	33.7334	26.17755	27.9002	32.5111	31.296	25.35505	25.9322	30.8717	24.01284	19.75341	31.307	21.37611	24.0791	30.7469	27.6376	30.21772	30.83417	24.37041	21.61265	19.12503	24.5814	28.36551	21.86932	24.92418
SLC38A8	0.838316	0.13838	0.142415	0.227163	0.442522	0.212523	0.50335	0.938768	0.535165	0.56215	0.552005	0.633381	0.771917	0.659117	0.407049	0.556803	0.814512	0.762652	0.23767	0.806312	0.366733	0.444628	1.0659	0.406237
SLC38A9	3.82871	5.79098	4.86448	4.98046	6.27847	4.17397	6.20244	2.82653	5.7132000423693	4.50158	3.36631	2.688712	4.17451	4.901885	3.41894	3.63307	3.122241	6.5632	5.544642	3.60206	3.54976	3.480844	4.22692	3.357097
SLC39A1	27.0154	22.0722	22.4837	25.9787	23.1286	21.9021	26.8021	24.6177	24.127	27.8061	23.0378	26.0232	21.7221	24.0571	23.7222	15.545	30.5561	21.5452	21.0368	22.37	22.5804	29.4201	26.6903	27.0546
SLC39A10	24.3488111	33.9790210428065	58.04783	43.070327087	46.76197	47.29107	38.5560922326	35.4155	40.4669000411388	36.3776300618187	30.84632	17.5815962	47.10504	41.28984	44.51479	42.55683	25.0445583141	52.60049	52.167966	32.7166000216102	51.5973000053156	26.5961500146692	31.224234392	57.98939
SLC39A11	17.18452	12.34216	12.20871	19.790265	16.62986	14.75683	15.15578	16.90384	13.50809	9.87911	12.45102	21.977587	12.425444864	17.91923	15.89997	17.70946	24.432744	11.218453	11.79911	15.02034	14.57325	17.490262	18.4284232	15.69583
SLC39A12	5.334578	8.419598	8.14525	4.971792404641	7.70947	7.19481	7.415361	2.646055	8.895053	10.36184	9.7754	5.7669000520297	8.306535	11.32709	11.432421	3.2118180636158	4.887040863603	7.0979	8.111895	7.842446	6.160273	0.77085	9.494445	5.033962
SLC39A13	38.509582	31.43904	30.96798	23.940578	28.10052	29.05306	38.791686	30.583973	41.817634	33.48677	25.351898	49.81826	31.47631	34.79201	38.715219	23.761221	49.305455	41.61093	29.94068	33.89594	26.569073	53.42436	46.58841	31.491166
SLC39A14	22.18771	22.336738	23.2316	22.0251	20.01034	26.11405	21.24234	18.76268	25.11917	22.948162	20.24782	17.34109	19.14559	20.59125	24.25854	20.60811	19.91943	24.48481	20.98676	17.551147	21.93374	20.79512	19.917904	20.54762
SLC39A2	0	0.208909	0.107554	0	0	0.107004	0	0.10897	0	0	0	0.413992	0.291524	0	0	0	0	0.177162	0	0	0	0.083783	0	0.135967
SLC39A3	141.408	76.9707	79.0418	129.972	137.834	72.3462	91.8101	107.637	113.113	120.218	131.454	168.105	94.4559	73.3605	137.529	142.613	146.981	106.156	118.599	128.548	114.193	89.4956	109.87	125.524
SLC39A4	0.158746	0	0.0809951	0.0861024	0	0	0	0	0.0760804	0.0799065	0	0	0	0	0	0.237033	0	0	0.13513	0	0	0	0	0.0513023
SLC39A5	2.86497	0.726413	0.790645	0.147541	0.099375	0.789582	1.09364	0.376841	0.50366	0	0.137145	5.43887	0.523736	0.524364	0.779097	0.479886	2.67553	0.184711	1.68673	0.639867	0.0980511	0.870194	0.71307	0.571095
SLC39A6	15.3333	25.5408	28.9477	27.171717	24.6715	32.3374	22.5484	25.0546	29.7927	19.826	17.626	20.4086	31.458705	21.8359	28.4169	23.9056	16.05617	32.4788	26.9614	27.6231	31.4168	23.9973	24.1316	26.9664
SLC39A7	111.1912	104.3274	105.4471	109.7284	97.50987	93.2216	98.9302	86.854	96.163	81.5553	91.1079	94.24923	96.5911	98.4139	94.6023	93.55319	87.5901	101.4556	88.9813	88.8583	96.9671	95.6755	98.4811	90.95601
SLC39A8	6.067436	7.868692	7.0546	11.07301	7.87229	10.4844	7.502671	7.08057	7.613935	4.203758	5.06219	7.416052	6.07961	5.383487	5.892018	8.444621	5.9363	9.2793	5.26389	7.581224	9.66193	4.58812	4.700343	7.02603
SLC39A9	16.00701	22.52183	26.25796	23.6023	22.25095	20.97188	16.85006	19.71649	18.42841	21.86946	20.53315	16.05673	22.62092	20.05304	21.09472	23.19309	14.7274	22.50812	22.658842	19.12119	22.94894	16.65056	16.54576	20.55691
SLC3A1	4.86839	3.58121	2.03097	3.11918	1.79207	3.0682	4.32954	2.44081	1.76656	4.60174	3.27712	2.59424	3.0579	2.78465	4.37111	2.79163	5.80464	4.15199	3.64004	3.73444	4.51943	3.81541	2.60736	2.145
SLC3A2	74.20679	61.8723	67.1918	73.3279	79.5302	65.3309	68.3038	59.6606	61.8526	51.36896	82.7145	61.627	66.0619	72.8702	65.8993	74.0461	70.64026	72.548	68.4362	69.8346	61.6534	70.5701	66.7668	58.3924
SLC40A1	4.19241	3.211366	5.08359	4.67175	6.52229	3.67463	3.02911	1.45477	3.88013	2.31649000120022	2.71198	2.105639	6.1632	2.69796	3.68965126806	1.879594	2.204392	3.29491	4.68286	2.72659	2.948995	3.53254	5.41261	5.21779
SLC41A1	48.50126	49.66332	52.09532	46.27053	41.97388	52.69909	44.82478379812	45.42052	40.10665	76.9408	48.60956	33.90993	45.79228	44.798699	44.27659	38.082885	52.77958	57.90077	59.10892	55.22466	56.598481	53.3439	55.581695	52.173722
SLC41A2	6.296981707901	10.61808336	14.0124822676	13.62299	9.75261609	12.352568827483	11.329963351	11.354578114	9.09856214099	6.024257238	6.3566138859761	3.9986212013	11.814400123329	11.1575045051	12.63396	7.58554281	8.36778	12.631502	6.839080221	6.27490700032916	8.55603	9.515775783	11.17749	7.500259
SLC41A3	13.93129	16.5623	7.14338	5.11432	8.368081	11.482793	13.9272	9.54649	18.03284	5.40409	5.425437	5.48415	4.355302	5.76845	9.66357	6.719894	4.58469	7.232468	4.89841	4.31238	4.12827	7.83905	3.45472	5.62562
SLC43A1	0.793441	2.261803	1.920564	2.53504	1.6744990542053	2.012182	2.399683	2.249485	2.194148	1.39695220341067	1.07441	0.84797	5.09187	1.2473100137352	1.597158	2.209268	1.41348100206833	1.990783	1.2368102567	1.797294	1.982093	1.784331	1.061540224807	1.419924
SLC43A2	40.92536	39.80649	36.33923	38.15628	37.61841	45.008034	47.850019	40.31674	43.65996	27.377115	42.961175	41.3595	38.50111	40.57042	35.32455	42.72129	37.13449	43.90489	29.71681	27.23447	37.683665	47.05307	42.57136	26.953486
SLC43A3	8.62003	12.1321	8.47954	9.83486	7.50041	8.72871	15.4628	9.97595	11.2318	5.81285	8.12489	9.45656	9.57469	10.3611	10.0457	7.90491	10.6268	9.41624	10.224	11.6451	8.64497	13.1537	18.839	10.3121
SLC44A1	14.4791	15.8285	16.2914	14.352	13.6771	14.3747	12.8545	10.6326	12.2934	15.7091	9.23217	9.50409	14.1125	12.077	13.0043	8.40476	10.0447	14.982	13.9603	11.4846	11.5624	9.42764	11.8526	11.2572
SLC44A2	24.10501	21.64377	22.66915	30.71843	28.73456	23.31002	24.93899	28.07247	20.04915	27.95466	34.45386	17.295041	27.40923	25.09052	27.62773	34.74039	35.95284	25.13662	38.41017	38.16501	33.82687	27.80522	20.16912	39.64921
SLC44A3	0.289659	0.215218	0.73834	1.25612	0.30591	0.440724	0.671015	0.0748713	0.624245	0.218567	0.643535	0.145658	0.200099	0.136672	1.33643	0.504905	0.562832	0.60828	0.492835	0.128619	0.506992	0.576204	0.465332	0.233963
SLC44A4	0	0	0.236786	0.0839111	0.163523	0	0	0.0747095	0	0.233616	0.642165	0	0	0	0.150363	0.575803	0.225467	0.0650222	0	0.0687422	0	0.123159	0	0.100003
SLC44A5	1.5763	2.36244	2.70786	2.022334	2.593862	3.50214	3.0315	2.812708	2.637329	2.675698	2.111678	4.47256	2.93676	2.56987	3.27151	2.018378	6.40982	2.290376	3.93169	3.74078	2.5263	1.864088	3.60043	2.81647
SLC45A1	93.815957	75.97368	70.21427	77.50804	81.06955	72.4817	72.13474	73.37851	74.49245	67.0475	78.95031	77.288292	61.35858	68.7807	83.094837	88.23178	111.222	85.17971	75.86303	89.77183	68.48883	92.84551	77.97834	77.75572
SLC45A2	0	0.09986805	0.2056582	0.4369369	0	0.10230006	0.10379934	0.10419016	0.1931116	0.3041536	0.2968287	0	0.1858018	0.094864	0.2936391	0.3994697	0	0.253535	0.256621	0	0	0.8011963	0.08096777	0.1300409
SLC45A3	2.58322	0.989141	0.84835076586	1.64808	0.8320752553	1.058013	0.31571185546	0.27186982676	0.332638	2.55737	0.4352338902	0.54021825	0.7662903736	0.124113405339	0.464018	0.482650979	1.02521693953	0.473978	1.66264022452	2.3131	0.575133	0.34900111772	0.662569	1.91112
SLC45A4	36.9789	34.35364	33.9214	34.558	28.35	27.8368	35.3089	31.8517	39.8347	23.13866	28.0016	32.96533	28.23178	28.98599	26.22681	27.2542	33.872	26.6852	22.57509	25.34574	26.21264	41.1369	32.5043	23.9541
SLC46A1	5.3159	5.58291	3.98437	6.15662	5.6588	5.87271	3.41969	5.5923	3.65843	3.614333	4.48846	5.37548	4.48497	2.359498	4.92749	4.407438	7.33695	4.12544	3.6232	5.74436	4.190064	7.29067	7.81474	4.882847
SLC46A2	1.430059	1.56876	0.800634	2.123067	0.93867	1.07176	2.564661	1.4553	1.081557	1.37755	0.8291439	1.43852	1.240866	1.31239	1.66175	0.789193	1.959594	1.661358	1.861092	1.24746	1.20782	1.0977	1.89685	2.78294
SLC46A3	1.61107	3.48341	3.3792	2.83294	4.45312	3.61642	3.67171	3.58454	3.17543	3.03312	1.64455	1.2328	3.37615	2.22913	3.07481	1.35667	2.3491	4.21896	2.9496	2.09662	3.6049	1.92027	2.82452	2.34042
SLC47A2	0.0504402	0.249284	0.256482	0.436656	0.424906	0.408252	0.31087	0.364333	0.192813	0	0.399422	0.360218	0.556029	0.19007	0.342288	0.302045	0.637404	0.46496	0.0856566	0.0893857	0.484495	0.280565	0.161705	0.130267
SLC48A1	136.896	91.2252	76.1177	104.612	92.6367	86.5806	94.3468	104.899	95.7989	81.8424	114.521	84.0536	88.697	92.5496	122.201	109.833	133.754	91.4676	95.5828	107.914	95.4695	92.7761	102.027	98.5977
SLC49A3	2.2127	1.84165	1.53358	1.79931	2.73514	1.22278	1.05658	2.0808	1.08419	1.12065	1.92412	1.81922	1.17372	1.16365	1.60445	1.15487	1.04851	0.730724	1.62462	1.29278	0.84788	2.22498	0.945101	1.68682
SLC49A4	63.7723	81.1993	94.8089	83.6567	84.1345	80.0619	67.7629	74.3922	77.828	69.5128	65.4487	34.2072	69.5667	70.8724	73.773	71.3773	52.2392	72.0048	71.4337	68.321	78.1556	62.7606	56.2246	69.0758
SLC4A1	2.55961	6.8759	3.78796	5.24555	5.29201	6.99193	5.53192	5.23339	6.17607	2.07309	2.84651	2.16105	16.7368	2.62168	4.43815	5.4704	4.80225	3.94889	5.79278	3.738	4.19334	2.96065	1.25896	3.82632
SLC4A10	43.85926	51.134797	74.338459	55.455317	59.716502	63.216851	61.96779	48.853963	62.320086	25.212061	34.77496	49.94485	63.73274	63.070165	65.88262	55.297028	55.046315	105.01985	46.235093	37.154893	65.52854	44.596046	43.351681	50.805217
SLC4A11	4.991533	7.286141	4.753072	8.171943	3.43427	5.06604	4.989966	3.399650418868	5.581517	12.331392	4.061626	2.555235	3.967015	5.68299	5.67747	5.204411	8.787967	7.350745	9.90454	10.891895	6.38084	5.606926	5.667884909	12.977283
SLC4A1AP	142.743	145.994	127.509	143.712	126.402	131.848	149.311	155.932	141.843	146.053	140.783	150.134	143.232	166.162	151.339	146.656	158.481	144.672	139.962	151.201	151.95	152.809	139.899	141.11
SLC4A2	20.28699	14.70428	16.34235	17.35589	13.6497463	15.3125	14.70516	20.98947	16.7561	27.376700054214	18.03148	22.6353000004393	15.10446	16.51974	17.5423	15.3535	24.27540285205	17.584	19.93782	20.94121984	16.12404	21.12891	17.88129072	22.44056
SLC4A3	169.3347	146.6172	145.5261	163.0666	120.0007	131.4168	143.5347	130.8022	125.3834	124.8891	164.7369	148.0716	128.3072	165.219	163.8352	138.7718	193.3819	173.1029	129.4192	118.9679	127.7296	174.2445	168.1406	129.6465
SLC4A4	39.16152693099	36.306450024073	41.542205	35.2066500028476	30.9582600080072	44.2364516	37.201502212	34.864018	30.27083	62.0907	21.21586	21.556446475	44.17742	35.9124800044516	40.23701	20.96269886	32.978612	36.4001130010909	50.00897	38.355752	41.2924955346	34.8353405017	36.2351446	52.291778
SLC4A5	0.871146	0.85894	1.87397	1.14031	0.72041	0.772334	1.78511	1.16876	1.18276	2.48625	0.995614	0.492538	1.30571	2.40774	1.55774	1.05614	0.872979	1.91963	1.81179	1.49328	0.528897	1.17295	1.62519	1.80507
SLC4A8	31.0109	47.14472	58.3356	52.9821	53.9687	49.6819	33.73756	33.9073	41.0772	29.89621	36.9039	36.4791	50.1443	42.6066	48.0728	47.1899	29.25216	62.5516	35.44642	29.31446	45.2527	33.0151	40.9848	35.1998
SLC4A9	0.154213	0.190304	0.313226	0.291739	0.202659	0	0.0395517	0.119217	0.22079	0.15468	0.305698	0.118924	0.176826	0.217714	0.0746706	0.346668	0.224923	0.129066	0.0327014	0.0341185	0.134499	0.122451	0.0308624	0.0995242
SLC50A1	2.71463	3.77642	2.09576	1.40285	2.41331	0.806876	3.35752	2.94474	0.912619	3.64614	2.59485	3.47517	2.86052	4.19917	2.507	2.6824	3.97534	3.31454	1.98694	3.79606	2.77261	2.90383	2.10927	5.00957
SLC51A	2.68788	4.81051	6.38443	4.20878	2.39579	2.73783	1.33333	2.34188	1.6537	3.03836	3.59552	0.951588	5.46999	3.3574	3.45712	0.960793	1.66987	4.80479	1.0092	2.77906	2.64399	2.22914	4.33337	2.57388
SLC51B	3.00091	1.33826	5.50788	3.28405	2.20064	0.687685	6.31117	4.88533	1.6282	2.03095	0.96819	1.74078	2.4901	1.58604	5.88862	1.63133	1.60441	1.71902	2.29971	1.80591	2.06924	2.40495	3.53722	1.95032
SLC52A2	97.045	73.0513	61.7968	81.7982	75.4703	67.144	67.4682	80.0514	59.9325	59.3097	67.402	113.396	54.2392	65.1531	70.6583	79.0267	81.3534	63.5987	65.3055	69.1318	65.8971	78.3751	67.0117	77.8432
SLC52A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113892	0	0	0	0	0	0	0
SLC5A1	0.234748917	0.23234	0.319363913	0.169750358	0.495458	0.07942845	0.32196	0.32378248	0.299515	0.0786457	0.154430696	0	0.144251509	0.1477614252	0.53231977	0.31160079	0.380076375	0.263081284	0.133201602	0.069534013	0.274072018	0.062285372	0.062890149	0.101151098
SLC5A10	0	0.435368	0	0.285785	0	0.356702	0.0904979	0.72686	0.336746	0	0	0.0573274	0.0809794	0.082911	0	0.0872878	0.255675	0.369177	0	0	0	0	0.0705969	0.17021
SLC5A11	0	0	0	0	0.096496	0.086113	0	0	0	0	0	0	0.0841387	0	0	0	0	0.30685	0.077661	0	0	0	0	0
