sample_HFS146-resub	sample_HFS147	sample_HFS148	sample_HFS149	sample_HFS150	sample_HFS191	sample_HFS192	sample_HFS193	sample_HFS194	sample_HFS258	sample_HFS259	sample_HFS260	sample_HFS261	sample_HFS262	sample_HFS298	sample_HFS299	sample_HFS300	sample_HFS301	sample_HFS302	sample_HFS338	sample_HFS339	sample_HFS340	sample_HFS341	sample_HFS342-resub
ABHD11	34.04929	23.8052	27.813122	26.3095	22.45571	21.4847	21.29545	21.24861	22.02326	15.58902	18.52865	24.66998	18.587604	15.89823	13.87904	19.91607	17.08504	22.7181	22.95716	21.36154	17.2709	23.25172	23.37768	19.247634
ABHD12	265.385	269.441	240.528	234.821	231.668	239.295	220.786	227.854	236.499	246.928	253.493	350.924	232.012	235.98	250.609	220.903	269.253	226.906	239.281	240.787	234.89	270.632	260.228	249.95
ABHD12B	1.12818	1.39817	1.27942	1.6464	1.57024	1.50397	3.06931	1.12236	1.4	0.974599	0.957068	0.865875	3.09504	1.69134	3.62947	1.72773	3.06651	2.90875	1.86801	1.83332	2.32102	2.32365	1.09571	2.71325
ABHD13	15.1241	20.8083	22.4078	21.1524	22.979	22.6446	16.4262	19.9877	22.1465	29.0876	19.1407	13.6282	22.4286	18.4447	23.2904	20.6307	15.5311	27.0686	24.1541	23.5738	26.4326	16.5578	22.3034	23.5
ABHD14A	270.0532	285.0097	268.783	292.9548	297.7972	289.4606	251.5975	278.4536	268.4994	231.0822	331.0266	267.9347	293.7358	339.1808	284.512	343.1706	278.6428	260.9232	256.7218	310.1441	339.688	307.7594	262.1247	332.2323
ABHD14B	12.6282	6.90314	8.68517	8.20523	9.08907	9.68793	12.4005	11.1162	7.91023	11.9418	8.38518	6.42383	11.3337	10.9557	9.27339	7.00805	9.09435	9.75595	9.14599	8.78574	5.64631	8.89366	8.01531	7.94198
ABHD15	0.0827387	0.0820547	0.253389	0.179558	0.175004	0.084029	0.0852804	0.171252	0.158668	0	0.0816045	0	0.305219	0.156284	0.402205	0.0823363	0.482186	0.139156	0.281803	0	0.217455	0.263509	0.0665285	0.213937
ABHD16A	158.228	158.982	160.16	157.844	161.736	167.194	170.492	151.178	181.455	141.965	169.444	132.546	164.593	168.813	165.42	163.237	143.404	161.999	158.713	161.707	156.709	160.568	160.318	156.295
ABHD16B	0.30733	0.407215	0.314463	0	0.977662	0.521421	0.317436	0.318625	0.78743	0.31004	0.302455	0.202136	0	0.193803	0.498869	0.508825	0.994557	0.604326	0.349516	0.0912608	0.179854	0.326664	0.412683	0.397621
ABHD17A	268.001	186.698	186.716	223.098	195.545	167.649	191.843	207.846	164.684	164.094	173.314	257.007	166.296	183.288	182.284	182.513	212.614	188.909	165.362	176.922	168.666	229.764	204.358	181.453
